,0,1,2,3,4,5,6,7
180,"8,6",40%,Vivek Agnihotri,Vivek Agnihotri,"Las entrevistas en video de la primera generación perteneciente a la comunidad hindú de Cachemira, cuyos miembros fueron víctimas de la violencia en esa región en 1990.",Drama,2h 50min,The Kashmir Files
181,"6,0",100%,Paz Encina,Paz Encina,"Eami's homeland is invaded by settlers. Embodying Asojá, the bird-god-woman, she falls into trance in which she walks slowly and stunned through her beloved forest as she prepares to leave it forever.",Drama,1h 23min,EAMI
182,"5,3",90%,Nikyatu Jusu,Nikyatu Jusu,"Aisha, una niñera inmigrante, reconstruye una nueva vida en Nueva York mientras cuida a la hija de una familia del Upper East Side. Debe enfrentarse a una verdad oculta que amenaza con hacer añicos su sueño americano.","Drama
Terror",1h 39min,Nanny
183,"7,0",100%,Shariff Nasr,Shariff Nasr,Moroccan-Dutch Karim returns to his family home and opens up to his parents about being into men. Their reaction inspires a journey of discovery through Karim's isolation as he attempts to break an ingrained culture of silence.,Drama,1h 42min,El Houb
184,"7,2",96%,Alejandro Loayza Grisi,Alejandro Loayza Grisi,"En el altiplano boliviano, una pareja de ancianos quechuas lleva años viviendo en cotidianidad. Durante una sequía inusualmente larga, Virginio y Sisa enfrentan un dilema: resistir o ser derrotados por el medio ambiente y el tiempo mismo.",Drama,1h 27min,Utama
185,"6,0",63%,Nicola Abbatangelo,Nicola AbbatangeloDavide Orsini,A young immigrant named Eva living in New York during the 1920s dreams of becoming a singer and falls for a pianist with an active imagination.,Drama,1h 50min,The Land of Dreams
186,"5,9",95%,Del Kathryn Barton,Huna Amweero,"Después de presenciar accidentalmente un crimen violento, una joven queda catatónica por la conmoción y lucha por encontrarle sentido a lo que vio, y finalmente encuentra una renovación en el inestimable mundo de su propia imaginación.","Crimen
Drama
Fantasía",1h 41min,Blaze
187,"4,4",0%,Rohit Shetty,Sanchit Bedre,"Dos juegos de gemelos idénticos se separan accidentalmente al nacer. Varios años más tarde, cuando coinciden en la misma ciudad, hay mucha confusión y malentendidos cuando la gente los confunde entre sí.","Comedia
Drama",2h 19min,Cirkus
188,"5,8",76%,Roar Uthaug,Espen Aukan,"En lo profundo de la montaña Dovre, algo gigantesco despierta después de mil años en cautiverio. La criatura destruye todo a su paso y rápidamente se acerca a Oslo.","Acción
Aventura
Drama",1h 41min,Trol
189,"7,1",100%,Katt Shea,Squire D. Rushnell,"Persiguiendo su sueño de unirse a una unidad de élite K-9, un policía estatal se une a otro desvalido, el inteligente, pero travieso cachorro de refugio Ruby.","Biografía
Drama
Familiar",1h 30min,El rescate de Ruby
190,"5,3",27%,Daniel Adams,Daniel Adams,"In 1974, a Boston Irish cop confronts fierce social pressure after being assigned to protect black high school students as they are bused into all-white South Boston High.",Drama,1h 45min,The Walk
191,"6,7",11%,D.J. Caruso,Francine Rivers,"Vendida para ser explotada en la prostitución cuando era niña, Ángel no conoce nada más que la traición. ¿Podrá su corazón sanar alguna vez?","Drama
Romance
Del oeste",2h 14min,Amor redentor
192,"4,2",22%,Andrew Dosunmu,Lena Waithe,Una joven negra con mucho talento se esfuerza por ser fiel a sí misma cuando le proponen un contrato lucrativo para grabar un álbum.,"Drama
Romance",1h 35min,Beauty
193,"8,3",100%,Vetrimaaran,Jayamohan,A police officer is recruited to capture the leader of a separatist group.,"Acción
Crimen
Drama",2h 30min,Viduthalai Part 1
194,"9,5",61%,Kieran Wheeler,Claudia HruschkaKieran Wheeler,A troubled young girl wakes up to find herself in a nightmarish situation.,Corto,15min,Jungle
195,"4,8",33%,Toby Meakins,Simon Allen,"Después de iniciar un juego de terror de supervivencia perdido de los años 80, una joven programadora desata una maldición oculta que destroza la realidad y la obliga a tomar decisiones aterradoras y enfrentar consecuencias mortales.","Drama
Terror
Suspense",1h 24min,Elige o muere
196,"5,9",31%,Andrew Semans,Andrew Semans,"La vida de Margaret está en orden. Ella es capaz, disciplinada y exitosa. Todo está bajo control. Es decir, hasta que David regresa, trayendo consigo los horrores del pasado de Margaret.","Crimen
Drama
Terror",1h 43min,Resurrección
197,"6,8",100%,Paloma Baeza,Enda Walsh,"Ambientada en la actualidad, un promotor inmobiliario intenta hacer una venta rápida de una renovación. Algunos invitados misteriosos e inesperados tienen otros planes y se convierten en el catalizador de una transformación más personal.","Animación
Comedia
Drama",12,La casa
198,"6,6",92%,Thomas M. Wright,Thomas M. Wright,"Mark y Henry crearán una fuerte relación de confianza luego de empezar a conversar al encontrarse en un autobús. Sin embargo, ninguno es quien parece ser, ambos cargan con secretos que pudiesen hundirlos.","Crimen
Drama
Suspense",1h 57min,El extraño
199,"2,3",40%,Kameron Hale,Scott Hale,"El día que a Abbey le diagnostican cáncer de ovario, ella y su novia, Miranda son invitadas a cenar con el antiguo grupo de autoayuda de Miranda para celebrar el regreso de su amigo Scott. Abbey descubre que no todo es lo que parece.","Drama
Terror
Misterio",1h 20min,Entropy
